game_id,game_date,principal_team,opponent_team,home_team,principal_score,opponent_score,delta_field_goals_pct,delta_avg_off_rebounds,delta_avg_free_throws_att,delta_avg_free_throws_pct,delta_avg_turnovers,delta_win_pct,game_result
3f5d38a8-bcbe-4d76-bb98-881dcd6f33da,11/17/2015,Colgate,Cornell,TRUE,98,101,0.033,-2,7,0.022,1,1,FALSE
edf3b944-59e3-4821-a397-8026de12991f,11/17/2015,Mississippi State,Southern University,TRUE,72,76,0.206,6,-4,0.078,-4,1,FALSE
82183ba7-19ba-40f6-b9f4-52f65e35f2eb,11/17/2015,N.J.I.T.,South Florida,FALSE,60,57,-0.057,-5,5,-0.064,-3,0,TRUE
fd42f5dc-cfba-4190-8f44-acf823d9e0f8,11/17/2015,Belmont,Arizona State,FALSE,74,83,0.037,0,-10,0.091,2,1,FALSE
dfa7ee21-0448-45eb-bceb-494c1d00cdf5,11/17/2015,Hawaii,Nevada,TRUE,76,75,0.0005,-2.5,5.5,-0.082,3,0,TRUE
5470fb5e-c993-4199-bc39-b0a6556013df,11/17/2015,North Florida,Texas Rio Grande Valley,TRUE,106,84,0.122,-2,-4,0.083,-8,1,TRUE
f1185a21-1526-464d-8561-1a8e9a403acc,11/17/2015,Citadel,Stetson,TRUE,94,93,-0.201,0,17,-0.022,6,0,TRUE
f2a0720b-0cda-4cb5-907d-ac8f535c8bc8,11/17/2015,Indiana,Austin Peay,TRUE,102,76,0.306,9,6,-0.032,2,1,TRUE
4f833e57-d3d6-4bef-bb0e-893bc3a9ccb7,11/17/2015,San Diego State,Utah,FALSE,76,81,0.01,-3,12,0.035,8,0,FALSE
0f234ea5-c457-40a4-aeb2-c70b526d762f,11/17/2015,Baylor,Oregon,FALSE,67,74,0.153,-3,-5,-0.018,-8,0,FALSE
4da53546-eaba-45c0-b22b-8fb8900d6c2c,11/17/2015,LSU,Kennesaw State,TRUE,91,69,0.114,5,6,-0.231,-6,1,TRUE
ea2c9bb4-9615-4eb2-a7d4-4a0ba4363e7d,11/17/2015,Virginia,George Washington,FALSE,68,73,0.057,4,-14,-0.071,-2,0,FALSE
