season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2010,Fresno State,dd8db4d8-d984-4cab-b7f6-22c6b8c2c45f,31,-0.25,0.58,0.452,67,67,0.427,0.448,0.629,22,78.76129032,12,10,23,25,13,8,85.06716907,21
2010,Furman,ca5318f2-48eb-4f6b-896a-966b900aa42f,33,-0.36,-3.65,0.667,68,64,0.447,0.434,0.725,20,73.5030303,11,10,23,21,13,5,92.51319261,21
2010,Gardner-Webb,79871449-f5a1-4650-b3cf-85b78fd6943e,32,-9.22,-2.72,0.344,62,66,0.411,0.438,0.642,21,76.09375,11,10,22,23,14,7,81.47843943,17
2010,George Mason ,e76479d0-a768-46d2-89bf-7b9dae12bec8,34,11.66,1.37,0.794,72,62,0.471,0.393,0.689,21,74.24117647,10,12,24,21,11,6,96.98122177,21
2010,George Washington,d52c3640-069c-4554-982e-e6537c8044f1,31,-0.1,0.36,0.548,64,65,0.415,0.449,0.627,19,76.46451613,13,11,22,22,12,6,83.69895376,20
2010,Georgetown ,8736b67f-5924-400b-bf94-3bd804c36600,32,14.61,10.39,0.656,70,66,0.475,0.387,0.734,19,73.85,10,10,23,19,13,6,94.78672986,17
2010,Georgia ,4f4b0771-994c-4126-822d-7525aaa00f65,33,10.43,6.13,0.636,68,64,0.452,0.419,0.697,20,76.75151515,12,10,25,24,13,6,88.59759949,20
2010,Georgia Southern,6b955b96-b736-475e-bffd-e4acf2054169,32,-15.88,-3.13,0.156,65,75,0.449,0.455,0.688,20,78.16875,9,10,20,22,17,8,83.15343408,20
2010,Georgia State,94ea835b-8ce9-4de2-a5b1-971548fea974,31,-4.15,-1.92,0.387,61,64,0.422,0.38,0.594,16,76.08387097,12,11,23,23,14,6,80.17467989,17
2010,Georgia Tech,0f63a6f5-bda7-4fd9-9271-8d33f555ca19,31,6.42,5.68,0.419,67,67,0.405,0.403,0.689,18,81.11612903,12,9,22,21,13,9,82.59762984,19
2010,Gonzaga ,2f4d21f8-6d5f-48a5-abca-52a30583871a,35,13.86,4.01,0.714,76,65,0.479,0.413,0.762,15,78.42857143,11,10,26,20,13,7,96.90346084,23
2010,Grambling,6776c7e6-f4c2-47bd-99e5-39fc179a3197,33,-18.45,-10.45,0.364,60,68,0.38,0.451,0.614,18,79.6,11,12,24,25,15,6,75.37688442,21
2010,Green Bay,61a3e5ab-1be3-4694-b83f-edae0953f409,32,-0.21,2.18,0.438,67,68,0.437,0.427,0.689,18,77.2,12,11,21,23,13,6,86.78756477,19
2010,Hampton ,161354af-1f3e-4d58-88f7-e016ec74b7b6,33,-5.2,-8.77,0.727,66,62,0.405,0.395,0.648,21,77.53333333,11,13,24,25,12,7,85.12467756,23
2010,Hartford,dba620d9-7282-4638-bf05-13caf48eeed1,31,-10.04,-5.55,0.355,59,64,0.383,0.45,0.6,21,74.49032258,10,10,20,25,12,7,79.20491945,13
2010,Harvard,5c7bf63f-bc39-43c5-9907-73b50b7a6b34,30,4.88,-1.19,0.767,71,64,0.475,0.41,0.81,15,71.61333333,9,8,23,19,13,5,99.14354869,21
2010,Hawaii,d4dc55b3-94fe-4d4f-b0bf-c50c5f064392,32,0.51,-0.87,0.594,69,67,0.451,0.429,0.685,21,77.3625,9,12,26,22,15,5,89.19049927,22
