season,School,team_id,Games,SRS,SOS,win_pct,pts_avg,opp_pts_avg,fg_pct,allow_fg_pct,ft_pct,allow_ft_att_avg,poss_avg,off_rebs_avg,allow_off_rebs_avg,def_rebs_avg,allow_def_rebs_avg,to_avg,steal_avg,off_rating,ft_att_avg
2000,Colgate,80a19b57-d6ab-4bee-934f-33a72c2e958a,28,-10.85,-8.13,0.464,70,71,0.438,NULL,0.712,NULL,81.521428571428,12,NULL,22,NULL,17,7,85.8669937790245,26
2000,College of Charleston,8548dacb-3636-48a8-8c46-611ab0c15fc0,29,1.62,-4.56,0.759,66,59,0.454,NULL,0.759,NULL,72.655172413793,10,NULL,22,NULL,12,7,90.8400569530139,21
2000,Colorado,9fccbf28-2858-4263-821c-fdefb3c7efa3,30,11.1,5.65,0.5,80,75,0.46,NULL,0.714,NULL,87.506666666666,13,NULL,26,NULL,16,7,91.421605972879,26
2000,Colorado State,1a470730-f328-4fb1-8bbf-36a069e4d6b2,28,5.49,2.33,0.536,69,63,0.479,NULL,0.667,NULL,73.75,10,NULL,24,NULL,15,5,93.5593220338983,22
2000,Columbia,ca74bd67-034c-4468-8487-6f983f5eb4f6,27,-10.79,-7.51,0.444,57,58,0.418,NULL,0.708,NULL,68.333333333333,7,NULL,23,NULL,15,5,83.4146341463419,18
2000,Connecticut,efba5350-79bc-47aa-a189-db177b95b491,32,10.17,5.43,0.625,73,68,0.465,NULL,0.7,NULL,82.23125,14,NULL,23,NULL,15,8,88.7740366344911,23
2000,Coppin State,5f9a90a2-3926-404e-8c8a-d9f22ad6907d,28,-12.03,-9.39,0.464,64,67,0.412,NULL,0.744,NULL,78.05,11,NULL,22,NULL,15,5,81.9987187700192,20
2000,Cornell,88ff8c00-958e-4ccf-a21d-77fab9e93692,27,-14.4,-7.52,0.259,62,67,0.389,NULL,0.667,NULL,76.37037037037,12,NULL,21,NULL,13,7,81.1833171677986,19
2000,"Creighton ",7d797407-623e-476d-b299-46de4275414d,32,12.4,3,0.75,72,63,0.442,NULL,0.702,NULL,77.9,11,NULL,22,NULL,13,9,92.4261874197689,22
2000,Dartmouth,d60357bd-1205-42e9-9092-d986a2843a34,27,-14.38,-7.34,0.296,63,69,0.402,NULL,0.712,NULL,74.281481481481,8,NULL,23,NULL,13,5,84.812524930196,18
2000,Davidson,2920c5fa-1e86-4958-a7c4-1e97b8e201d8,32,-8.76,-3.65,0.469,69,69,0.426,NULL,0.662,NULL,83.4875,12,NULL,26,NULL,18,6,82.6471028597095,21
2000,Dayton,632616c5-2dbb-4017-a449-c9dfc303f026,34,9.73,6.14,0.618,71,67,0.442,NULL,0.733,NULL,77.15294117647,13,NULL,22,NULL,14,6,92.0250076242764,21
2000,Delaware,0affc15f-641d-4211-970d-fb9fb8d36842,30,1.9,-6.04,0.667,75,67,0.462,NULL,0.69,NULL,81.64,12,NULL,25,NULL,16,7,91.8667319941205,19
2000,Delaware State,ffa04cde-aa2d-4e91-b2cd-bde2bfed44de,28,-15.11,-10.97,0.464,63,67,0.431,NULL,0.661,NULL,73.771428571428,11,NULL,19,NULL,13,6,85.3989155693268,16
2000,Denver,6f676cba-c1f9-45a4-9016-fb408fd525b1,28,-7.3,-1.3,0.357,67,70,0.421,NULL,0.598,NULL,83.821428571428,13,NULL,25,NULL,16,6,79.9318278653606,19
